ConsumerNodeID,ResourceNodeID,ConsumerSpeciesID,ResourceSpeciesID,ConsumerStageID,ResourceStageID,LinkNumber,LinkType,LinkEvidence,LinkEvidenceNotes,LinkFrequency,LinkN,DietFraction,ConsumptionRate,VectorFrom,PreyFrom,,,
39,79,39,79,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,84,39,83,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,86,39,83,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,88,39,84,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,90,39,84,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,92,39,85,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,94,39,85,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,96,39,86,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,100,39,87,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,104,39,88,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,108,39,89,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,112,39,90,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,115,39,91,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,118,39,92,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,122,39,93,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,126,39,94,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,130,39,95,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,136,39,97,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,140,39,99,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
39,141,39,99,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,79,41,79,1,1,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,84,41,83,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,86,41,83,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,88,41,84,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,90,41,84,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,92,41,85,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,94,41,85,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,96,41,86,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,100,41,87,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,104,41,88,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,108,41,89,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,110,41,89,1,4,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,112,41,90,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,115,41,91,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
41,118,41,92,1,2,14,Concomitant Predation on Symbionts,,,,,,,,,,,
