ENSG00000000005	ENSG00000163472
ENSG00000000419	ENSG00000151790
ENSG00000000457	ENSG00000100348
ENSG00000000457	ENSG00000139112
ENSG00000000457	ENSG00000162624
ENSG00000001036	ENSG00000106511
ENSG00000001167	ENSG00000101266
ENSG00000001167	ENSG00000120837
ENSG00000001167	ENSG00000143442
ENSG00000001167	ENSG00000146963
ENSG00000001167	ENSG00000165417
ENSG00000001461	ENSG00000158813
ENSG00000002330	ENSG00000171552
ENSG00000002822	ENSG00000012779
ENSG00000002822	ENSG00000078114
ENSG00000002822	ENSG00000105248
ENSG00000002822	ENSG00000112130
ENSG00000002822	ENSG00000119862
ENSG00000002822	ENSG00000121297
ENSG00000002822	ENSG00000129084
ENSG00000002822	ENSG00000135655
ENSG00000002822	ENSG00000137699
ENSG00000002822	ENSG00000140259
ENSG00000002822	ENSG00000140416
ENSG00000002822	ENSG00000140987
ENSG00000002822	ENSG00000143549
ENSG00000002822	ENSG00000152240
ENSG00000002822	ENSG00000152404
ENSG00000002822	ENSG00000157514
ENSG00000002822	ENSG00000158480
ENSG00000002822	ENSG00000166170
ENSG00000002822	ENSG00000204536
ENSG00000002834	ENSG00000071539
ENSG00000002834	ENSG00000100167
ENSG00000002834	ENSG00000100567
ENSG00000002834	ENSG00000104427
ENSG00000002834	ENSG00000107816
ENSG00000002834	ENSG00000129245
ENSG00000002834	ENSG00000131721
ENSG00000002834	ENSG00000131931
ENSG00000002834	ENSG00000136158
ENSG00000002834	ENSG00000162924
ENSG00000002834	ENSG00000167110
ENSG00000002834	ENSG00000196628
ENSG00000002834	ENSG00000198844
ENSG00000002834	ENSG00000204713
ENSG00000002834	ENSG00000213588
ENSG00000002834	ENSG00000244537
ENSG00000002919	ENSG00000105404
ENSG00000002919	ENSG00000170540
ENSG00000003147	ENSG00000024862
ENSG00000003147	ENSG00000071655
ENSG00000003147	ENSG00000104388
ENSG00000003147	ENSG00000129472
ENSG00000003147	ENSG00000168395
ENSG00000003400	ENSG00000101966
ENSG00000003402	ENSG00000056558
ENSG00000003987	ENSG00000104643
ENSG00000004142	ENSG00000023330
ENSG00000004142	ENSG00000132938
ENSG00000004487	ENSG00000104892
ENSG00000004487	ENSG00000120860
ENSG00000004487	ENSG00000123609
ENSG00000004487	ENSG00000138100
ENSG00000004487	ENSG00000165916
ENSG00000004487	ENSG00000167110
ENSG00000004487	ENSG00000171360
ENSG00000004487	ENSG00000204599
ENSG00000004534	ENSG00000254772
ENSG00000004838	ENSG00000119650
ENSG00000004838	ENSG00000166925
ENSG00000004838	ENSG00000184258
ENSG00000004838	ENSG00000184507
ENSG00000004897	ENSG00000093010
ENSG00000005075	ENSG00000171453
ENSG00000005102	ENSG00000012779
ENSG00000005102	ENSG00000031823
ENSG00000005102	ENSG00000050748
ENSG00000005102	ENSG00000077279
ENSG00000005102	ENSG00000084652
ENSG00000005102	ENSG00000101871
ENSG00000005102	ENSG00000103528
ENSG00000005102	ENSG00000107341
ENSG00000005102	ENSG00000124357
ENSG00000005102	ENSG00000141977
ENSG00000005102	ENSG00000144021
ENSG00000005102	ENSG00000152404
ENSG00000005102	ENSG00000154328
ENSG00000005102	ENSG00000157500
ENSG00000005102	ENSG00000173207
ENSG00000005102	ENSG00000176896
ENSG00000005102	ENSG00000185787
ENSG00000005102	ENSG00000198218
ENSG00000005102	ENSG00000204279
ENSG00000005102	ENSG00000215114
ENSG00000005194	ENSG00000106511
ENSG00000005194	ENSG00000108010
ENSG00000005194	ENSG00000188566
ENSG00000005238	ENSG00000103423
ENSG00000005238	ENSG00000112984
ENSG00000005238	ENSG00000114107
ENSG00000005238	ENSG00000160305
ENSG00000005238	ENSG00000185811
ENSG00000005238	ENSG00000204713
ENSG00000005249	ENSG00000118507
ENSG00000005249	ENSG00000120656
ENSG00000005249	ENSG00000170759
ENSG00000006062	ENSG00000127191
ENSG00000006125	ENSG00000072364
ENSG00000006125	ENSG00000079337
ENSG00000006125	ENSG00000100348
ENSG00000006125	ENSG00000129354
ENSG00000006125	ENSG00000131931
ENSG00000006125	ENSG00000160201
ENSG00000006125	ENSG00000169100
ENSG00000006125	ENSG00000182481
ENSG00000006125	ENSG00000204099
